;hoeg;lag;Fabrikat;id;name;location;coordinates;dh;I_drift;Ber;mwh_2013;mwh_2014;mwh_2015;man_12_MWH;man_12_percentage;Manad;Tid;AHT;MS;YNS;OEYS;PU;OEPS;TF
414;800;;Enercon;1091; Hörby 1; Susan H, Hörby ;E3b;48/65;70828;1500;1294;1507;1455;1455;99,6;;;;;;;;;
415;800;;Enercon;1092; Hörby 2; Susan H, Hörby ;E3b;48/65;70828;1500;1214;1361;1362;1362;99,2;;;;;;;;;
416;800;;Enercon;1093; Hörby 3;Hörby ;E3b;48/65;70828;1500;1269;1412;1439;1439;99,7;;;;;;;;;
417;800;;Enercon;1094; Rålanda 1; Dan C, Rålanda ;B8d;48/65;61101;1500;1278;1281;1577;1577;100;230;92;0;;;;;;
418;800;;Enercon;1102; Möllebacken 3;Nosaby ;E3a;48/65;90901;1500;1325;1487;1773;1773;98,9;232;96;0;;;;;;
419;800;;Enercon;1119; OSVALD;Klockrike ;F8h;53/72;91003;1695;1509;1592;1984;1984;98,3;274;99;8;;;;;;
420;800;;Enercon;1123; Bjälbo Energi; Karin, Bjälbo ;F8d;53/73;81217;2100;2053;2015;2521;2521;99,3;329;99;0;;;;;;
421;800;;Enercon;1137; Lörby 4; Pehr, Lörby ;E3b;53/73;100101;1750;1654;1892;2136;2136;99,9;280;96;0;;;;;;
422;800;;Enercon;1138; Lörby 5; Mattis, Lörby ;E3b;53/73;100101;1750;1580;1846;2000;2000;96,6;195;75;134;;;;;;
423;800;;Enercon;1139; Lörby 6; Daniel, Lörby ;E3b;53/73;100101;1750;1701;1946;2155;2155;99,3;283;94;5;;;;;;
424;800;;Enercon;1140; Lörby 7; Elin, Lörby ;E3b;53/73;100101;1750;1721;1991;2179;2179;99,1;288;96;1;;;;;;
425;800;;Enercon;1151; Berit 2; Lilla Lunden, Lilla Lu ;D8g;53/74;101203;1800;1485;1515;1894;1894;99,9;218;97;0;;;;;;
426;800;;Enercon;1156; Byåra 2;Borrby ;D2c;53/73;91201;2600;2772;3043;3132;3132;95,4;413;98;6;;;;;;
427;800;;Enercon;1181; Marieholm III;Marieholm ;C2i;53/60;80515;2000;2009;2282;2432;2432;98,8;314;97;7;;;;;;
428;800;;Enercon;1182; Marieholm 4;Marieholm ;C2i;53/60;80515;2000;1905;2152;2262;2262;99,1;295;98;4;;;;;;
429;800;;Enercon;1197; Petersborg 1;Lindshammar ;F5g;53/73;90501;1500;1290;1280;1581;1581;98,7;235;93;26;;;;;;
430;800;;Enercon;1198; Petersborg 2;Lindshammar ;F5g;53/73;90501;1500;1279;1298;1598;1598;98,3;243;97;0;;;;;;
431;800;;Enercon;1224; Säby 1; Seth, Säby ;F3f;48/64;100501;1650;1534;1746;2029;2029;98,2;294;96;0;;;;;;
432;800;;Enercon;1225; Säby 2; Ängla, Säby ;F3f;48/64;100501;1650;1451;1604;1929;1929;99,3;279;95;2;;;;;;
433;800;;Enercon;1226; Säby 3; Birk, Säby ;F3f;48/64;100501;1650;1419;1588;1913;1913;99,4;277;95;3;;;;;;
434;800;;Enercon;1227; Säby 4; Yrsa, Säby ;F3f;48/64;100501;1650;1463;1626;1937;1937;99,1;281;96;4;;;;;;
435;800;;Enercon;1229; Hedeberga;Tomelilla ;D2c;53/64;100215;2200;2000;2185;2442;2442;99,9;311;97;0;;;;;;
436;800;;Enercon;1244; Vena Säby;Brålanda ;C9a;53/73;71201;1800;1680;1623;2039;2039;98,9;277;91;0;;;;;;
437;800;;Enercon;1247; Långöre 2; Herman, Långör ;H5a;53/73;100719;2500;2517;2648;2984;2984;92,5;377;98;1;;;;;;
438;800;;Enercon;1257; Långöre 3;Långöre ;H5a;53/73;100901;2200;2590;2651;2902;2902;99,5;365;98;0;;;;;;
439;800;;Enercon;1312; MellsaVind 1;Stora Mellösa ;F10b;53/73;100910;1580;1296;1284;1697;1697;98,5;238;96;7;;;;;;
440;800;;Enercon;1318; Kvismaren 3;Odensbacken ;F10c;53/74;101004;1550;1368;1355;1877;1877;99,2;256;93;40;;;;;;
441;800;;Enercon;1371; Mönarp 1; Universal Wind, K ;D7g;53/73;110301;1700;1535;1568;1944;1944;99,5;281;95;3;;;;;;
442;800;;Enercon;1372; Mönarp 2; Universal Wind, K ;D7g;53/73;110331;1700;1497;1565;1946;1946;98,5;284;96;3;;;;;;
443;800;;Enercon;1373; Mönarp 3; Universal Wind, K ;D7g;53/73;110331;1700;1551;1595;2047;2047;99,5;300;96;3;;;;;;
444;800;;Enercon;1374; Mönarp 4; Universal Wind, K ;D7g;53/73;110331;1700;1586;1576;2032;2032;99,3;292;94;4;;;;;;
445;800;;Enercon;1558; Varby 2;Varby ;F8g;53/73;110617;1750;1644;1595;2064;2064;99,4;290;98;6;;;;;;
446;800;;Enercon;1637; Skenaån Vind 1 Valdemar; ;F8d;53/73;120307;1800;1728;1685;2217;2217;99,3;290;97;;;;;;;
447;800;;Enercon;1638; Skenaån Vind 2 Bengt;Bjälb ;F8d;53/73;120320;1800;1661;1591;2108;2108;99,4;286;99;0;;;;;;
448;800;;Enercon;1639; Skenaån Vind 3 Kristina;Bjä ;F8d;53/73;120326;1800;1711;1619;2200;2200;99,7;299;99;0;;;;;;
449;850;;Vestas;468; Lanna 1; Lidköping, Lanna ;C8f;52/49;1228;1350;1514;1459;1894;1894;98,7;259;86;16;;;;;;
450;850;;Vestas;487; Roxett;Näsby ;F8f;52/55;10116;1470;872;890;148;148;99,5;;;;;;;;;
451;850;;Vestas;488; Skog 1;Söne ;C8i;52/65;10601;1870;1675;1508;2145;2145;99;287;89;8;;;;;;
452;850;;Vestas;601; Runnestad I;Runnestad ;E8c;52/65;10803;1915;1680;1573;2082;2082;98,1;284;90;22;;;;;;
453;850;;Vestas;602; Högby I;Högby ;F8d;52/65;10906;1660;1314;1341;1281;1281;72,1;119;49;349;;;;;;
454;850;;Vestas;603; Ö-vik Inger;Norrvåge ;J19a;52/55;10827;2160;1354;1170;585;585;94,4;;;;;;;;;
455;850;;Vestas;604; Ö-vik Gun;Norrvåge ;J19a;52/55;10928;2160;1097;1322;768;768;99,7;;;;;;;;;
456;850;;Vestas;614; Bränneberg 1;Jung ;C8f;52/49;10825;1400;1255;1237;1607;1607;84,4;258;89;1;;;;;;
457;850;;Vestas;615; Bränneberg 2;Jung ;C8f;52/49;10825;1400;1538;1432;1781;1781;97,8;197;81;75;;;;;;
458;850;;Vestas;622; Vitåkra;Everöd Brogård ;D2c;52/55;20115;1950;1620;1785;1825;1825;88,7;264;89;15;;;;;;
459;850;;Vestas;623; Skog 2;Söne ;C8i;52/74;20204;2000;1761;1793;2154;2154;94,4;242;73;125;;;;;;
460;850;;Vestas;624; Kampa 1;Kampagården Sm ;D7h;52/65;20128;1765;1378;1466;1789;1789;96,8;230;80;53;;;;;;
461;850;;Vestas;625; Herrgårdsvind; Hogstad, Ho ;F8d;52/65;20110;1705;1549;1479;1984;1984;98,6;273;92;4;;;;;;
462;850;;Vestas;629; Hill Mill;Rök ;E8c;52/65;20218;1850;1551;1422;1929;1929;86,6;261;85;45;;;;;;
463;850;;Vestas;630; Bårstad;Borghamn ;E8f;52/55;20222;2030;1705;1708;2133;2133;97,3;299;89;13;;;;;;
464;850;;Vestas;632; Spargodt;Tågarp ;C3b;52/65;11108;1850;1346;1907;1974;1974;86,6;;;;;;;;;
465;850;;Vestas;636; Häckenäs III;Borghamn ;E8f;52/50;20226;1955;1855;1782;2220;2220;95,3;318;94;1;;;;;;
466;850;;Vestas;638; Långben; Långlöt, Långlöt ;H4g;52/65;20314;1500;1587;1729;1912;1912;96,9;275;97;3;;;;;;
467;850;;Vestas;648; Kärragården;Bjäresjö ;D2b;52/55;20913;1800;1721;1902;2055;2055;98,3;293;91;18;;;;;;
468;850;;Vestas;649; Kärragården K4R;Bjäresjö ;D2b;52/55;20913;1800;1700;1886;2047;2047;98,3;290;92;0;;;;;;
471;850;;Vestas;650; Hovgården I;Hov ;E8f;52/55;21004;1750;1598;1578;444;444;99,9;;;;;;;;;
472;850;;Vestas;651; Kulle 3 Havdhem;Havdhem ;I5i;52/55;21029;1800;1514;1578;1804;1804;97,8;231;88;46;;;;;;
473;850;;Vestas;652; Kulle 4 Havdhem;Havdhem ;I5i;52/55;21029;1740;1522;1630;1847;1847;98,1;243;89;38;;;;;;
474;850;;Vestas;653; Kulle 5 Havdhem;Havdhem ;I5i;52/55;21029;1700;1482;1475;1802;1802;95,4;250;84;73;;;;;;
475;850;;Vestas;654; Kulle 6 Havdhem;Havdhem ;I5i;52/55;21029;1720;1511;1588;1868;1868;99,3;264;94;6;;;;;;
476;850;;Vestas;655; Kulle 7 Havdhem;Havdhem ;I5i;52/55;21029;1690;1514;1664;1765;1765;92,3;248;89;45;;;;;;
477;850;;Vestas;656; Kulle 8 Havdhem;Havdhem ;I5i;52/55;21029;1730;1513;1659;1662;1662;87,3;254;91;24;;;;;;
478;850;;Vestas;657; Kulle 9 Havdhem;Havdhem ;I5i;52/55;21029;1730;1490;1673;1894;1894;99,4;274;95;0;;;;;;
479;850;;Vestas;658; Kulle 10 Näs;Näs ;I5i;52/55;21029;1760;1570;1724;1940;1940;97,8;278;94;1;;;;;;
480;850;;Vestas;659; Kulle 11 Näs;Havdhem ;I5i;52/55;21029;1820;1440;1616;1898;1898;98,5;274;94;0;;;;;;
481;850;;Vestas;667; Håberg 2;Grästorp ;C8d;52/74;21216;1774;1649;1478;1966;1966;99,1;259;85;5;;;;;;
482;850;;Vestas;668; Runnestad II;Runnestad ;E8c;52/65;21023;1850;1587;1516;2067;2067;99,3;291;90;2;;;;;;
483;850;;Vestas;669; Runnestad III;Runnestad ;E8c;52/65;21017;1850;1612;1556;2059;2059;99;291;91;2;;;;;;
484;850;;Vestas;670; Götarsvik; Caroline, Götarsvi ;F10f;52/74;21220;1710;1256;1237;207;207;99,9;;;;;;;;;
485;850;;Vestas;671; Skeby 1;Källby ;D8g;52/49;21002;1300;1032;1111;779;779;98,9;;;;;;;;;
486;850;;Vestas;678; Vestas Rodovålen;Vemhån ;E17a;52/55;30101;1800;1890;1598;2166;2166;94,6;248;86;85;;;;;;
487;850;;Vestas;685; Lanna 2;Saleby ;C8f;52/49;21220;1500;1522;1487;1878;1878;97,8;230;82;53;;;;;;
488;850;;Vestas;691; Lunnarp; Tommelilla, Lunnar ;D2c;52/65;30318;2300;1969;2021;2182;2182;94,2;296;93;7;;;;;;
489;850;;Vestas;692; Vallruns; Lucia, Vallrun ;E20e;52/55;30221;2000;1731;1460;1031;1031;95,6;;;;;;;;;
490;850;;Vestas;702; Åkesdal 1;Gärds Köpinge ;D3c;52/55;30116;1500;1340;1471;1700;1700;97,7;240;88;11;;;;;;
491;850;;Vestas;703; Åkesdal 2;Gärds Köpinge ;D3c;52/55;30116;1500;1333;1471;1730;1730;97,2;246;88;0;;;;;;
492;850;;Vestas;704; Åkesdal 3;Gärds Köpinge ;D3c;52/55;30116;1500;1352;1452;1700;1700;95,2;238;88;9;;;;;;
493;850;;Vestas;705; Åkesdal 4;Gärds Köpinge ;D3c;52/55;30116;1500;1331;1461;1712;1712;95,4;243;88;0;;;;;;
494;850;;Vestas;706; Åkesdal 5;Gärds Köpinge ;D3c;52/55;30116;1500;1244;1173;1782;1782;98,9;251;90;0;;;;;;
495;850;;Vestas;707; Uvereds Vindkraftför. V1;Uv ;C8f;52/50;30615;1250;1416;1352;1805;1805;93,8;249;87;4;;;;;;
496;850;;Vestas;708; Uvereds Vindkraftför. V2;Uv ;C8f;52/50;30615;1250;1314;1318;1666;1666;99,4;236;87;;;;;;;
497;850;;Vestas;709; Uvereds Vindkraftför. V3;Uv ;C8f;52/50;30615;1250;1335;1329;1680;1680;99,5;230;85;14;;;;;;
498;850;;Vestas;710; Uvereds Vindkraftför. V4;Uv ;C8f;52/50;30615;1250;1254;1327;1677;1677;99,5;230;86;9;;;;;;
499;850;;Vestas;711; Uvereds Vindkraftför. V5;Uv ;C8f;52/50;30615;1250;1361;1358;1742;1742;99,7;240;86;8;;;;;;
500;850;;Vestas;716; Kärragården 6;Bjäresjö ;D2b;52/55;30408;1800;1782;1898;2030;2030;96;282;80;49;;;;;;
501;850;;Vestas;717; Kärragården; Lidan, Bjäresjö ;D2b;52/55;30410;1850;1827;2137;2135;2135;97,6;294;86;61;;;;;;
502;850;;Vestas;719; Grimskullen;Grimskullen Ma ;D7g;52/65;10405;1800;1561;1683;1019;1019;99,6;;;;;;;;;
503;850;;Vestas;720; Stora Lund;Stora Lund ;D8g;52/74;30714;1500;1412;1344;1776;1776;99,4;250;89;6;;;;;;
504;850;;Vestas;721; Skeby 2;Källby ;D8g;52/49;30723;1200;1111;1226;879;879;99,6;;;;;;;;;
505;850;;Vestas;722; Frittorp;Sparlösa Frittorp ;C8e;52/74;30714;1700;1635;1616;474;474;92,6;;;;;;;;;
506;850;;Vestas;723; Erikstorp 2;Lundsbrunn ;D8h;52/74;31024;;1178;1170;1548;1548;85,4;235;87;6;;;;;;
507;850;;Vestas;724; Grebban 3; Tanumshede, T ;A9f;52/50;30706;1600;1546;1543;1833;1833;93,6;173;64;178;;;;;;
508;850;;Vestas;725; Kärrets Gård II;Långås ;B5f;52/74;31125;1760;1562;1698;1524;1524;77,9;182;62;226;;;;;;
509;850;;Vestas;726; Glänås Vind;Väderstad ;E8c;52/65;31115;1700;1606;1678;1955;1955;98,3;277;92;4;;;;;;
510;850;;Vestas;727; Valla Vind;Runnestad ;E8c;52/65;31107;1700;1560;1438;1872;1872;95;270;90;26;;;;;;
511;850;;Vestas;728; Skeby/Tungelunda I;Väders ;E8c;52/74;31107;1800;1683;1572;2024;2024;97,6;248;85;69;;;;;;
512;850;;Vestas;731; Elvinda; Rocklunda, Rocklun ;F8g;52/65;31103;1600;1571;1526;1907;1907;97,6;258;91;22;;;;;;
513;850;;Vestas;732; Stavlösa Vind I;Stavlösa ;E8f;52/65;31205;1750;1680;1730;2151;2151;98,6;287;90;26;;;;;;
514;850;;Vestas;733; Stavlösa Vind II;Stavlösa ;E8f;52/65;31205;1750;1744;1792;2200;2200;98,4;293;91;32;;;;;;
515;850;;Vestas;734; Stavlösa Vind III;Stavlösa ;F8d;52/65;31205;1750;1686;1738;2147;2147;98,4;295;94;2;;;;;;
516;850;;Vestas;739; Mofalla Laggarebolet;Lagga ;E8d;52/65;31210;;1340;1495;1733;1733;97,9;226;83;59;;;;;;
517;850;;Vestas;743; Heås; Sibräcka, Sibräcka ;B7g;52/60;40121;1900;2262;2380;2742;2742;99,2;365;90;9;;;;;;
518;850;;Vestas;748; Björnskallen; Kajsa, Ljungda ;C18f;52/65;31211;1900;1295;1201;1312;1312;94,9;;;;;;;;;
519;850;;Vestas;749; Sparlösa;Sparlösa ;C8e;52/65;30901;1650;1582;1567;617;617;99,8;;;;;;;;;
520;850;;Vestas;751; Stenkil;Stenskilsvarv,  Varv ;F8g;52/65;40128;1700;1443;1450;1622;1622;96,9;;;;;;;;;
521;850;;Vestas;762; Kvismaren 1;Odensbacken ;F10c;52/74;40401;1430;1290;1245;1339;1339;83,3;222;86;2;;;;;;
522;850;;Vestas;764; Ölanda;Istrum ;D8h;52/74;40225;1400;1183;1291;1550;1550;95,4;228;90;2;;;;;;
523;850;;Vestas;766; Andersfält; 1SYD, Tönnersa ;C4e;52/65;40131;1700;1361;1552;1837;1837;97,8;255;83;14;;;;;;
524;850;;Vestas;767; Andersfält; 2 MITT, Tönners ;C4e;52/65;40131;1750;1523;1745;2036;2036;98,4;274;83;3;;;;;;
525;850;;Vestas;768; Andersfält; 3 NORR, Törnne ;C4e;52/65;40131;1750;1473;1737;2052;2052;98,5;294;83;7;;;;;;
526;850;;Vestas;769; Långeryd I;Långeryd ;F8d;52/65;40506;1750;1768;1748;2221;2221;98,6;309;94;3;;;;;;
527;850;;Vestas;770; Långeryd II;Långeryd ;F8d;52/65;40506;1750;1750;1718;1869;1869;99,1;;;;;;;;;
528;850;;Vestas;773; Brunnstorp Källby;Broby-Br ;D8g;52/74;40713;1500;1475;1502;1851;1851;98,5;263;86;4;;;;;;
529;850;;Vestas;784; St Wahlby;Väderstad ;F8d;52/74;41206;1850;1767;1722;2231;2231;99,2;292;91;25;;;;;;
530;850;;Vestas;786; Isberget I;Skonberga ;F8e;52/74;50103;1600;1553;1498;1992;1992;99;256;89;22;;;;;;
531;850;;Vestas;787; Isberget II;Skonberga ;F8e;52/74;50103;1600;1497;1442;1951;1951;99,5;266;92;7;;;;;;
532;850;;Vestas;788; Isberget III;Skonberga ;F8e;52/74;50103;1600;1499;1430;1911;1911;98,5;253;90;21;;;;;;
533;850;;Vestas;794; Blås ut Vind AB;Lundsbrun ;D8g;52/74;41213;1500;1325;1326;1736;1736;99,6;241;90;6;;;;;;
534;850;;Vestas;795; Kilabacken Vind AB;Lundsb ;D8g;52/74;50118;1550;1547;1608;2067;2067;99,5;289;90;8;;;;;;
535;850;;Vestas;796; Ova Vind;Lundsbrunn ;D8g;52/74;50116;1500;1451;1500;1883;1883;98,3;253;77;79;;;;;;
536;850;;Vestas;797; Ryda Vind AB;Ryda ;C8b;52/74;50127;1600;1747;1672;2046;2046;98,6;274;87;27;;;;;;
537;850;;Vestas;799; Storön 1;Storön ;M25c;52/65;50201;1700;1763;1478;1874;1874;93,7;208;79;0;;;;;;
538;850;;Vestas;800; Hunflen; Ferdinand 20615,  ;E13a;52/65;50403;1800;1974;1876;2457;2457;98,1;338;96;6;;;;;;
539;850;;Vestas;801; Hunflen; Vilhelm 20616, Äpp ;E13a;52/65;50504;1800;1899;1703;2216;2216;98,6;291;92;30;;;;;;
540;850;;Vestas;802; Viglunda;Skara ;D8d;52/72;50517;1600;1437;1458;1912;1912;99,3;276;90;0;;;;;;
541;850;;Vestas;804; Östest-kröket;Tännäs ;C17f;52/55;51124;1900;2556;2239;3015;3015;98,9;407;99;0;;;;;;
542;850;;Vestas;820; Lönhult;Lönhults gård ;C3d;52/74;51017;1875;1916;2173;2401;2401;85,8;259;76;12;;;;;;
543;850;;Vestas;840; Uljeberg;Uljebergs Säteri ;F8e;52/74;51221;1400;1332;1281;1730;1730;99;224;84;50;;;;;;
544;850;;Vestas;842; Vannborga Övra;Borgholm ;H5a;52/44;41231;1700;1779;1663;2079;2079;99,6;301;93;0;;;;;;
545;850;;Vestas;843; Vannborga Nedra;Borgholm ;H5a;52/44;41231;1700;1905;1692;2282;2282;99;330;93;0;;;;;;
546;850;;Vestas;844; Ekekullen;Dintestorp ;D7h;52/74;51228;1650;1493;1545;1434;1434;98,4;;;;;;;;;
547;850;;Vestas;848; Örum Ystad;Örum ;D2c;52/65;50520;2400;2438;2533;2840;2840;98,1;388;95;0;;;;;;
548;850;;Vestas;853; Lyckevind Istrum;Istrum ;D8e;52/74;61130;1400;1248;1311;1623;1623;96,4;242;90;1;;;;;;
549;850;;Vestas;855; Brönnestad 3;Brönnestad B ;C1i;52/52;70206;2050;2066;2413;2548;2548;98,8;335;96;8;;;;;;
550;850;;Vestas;977; Uvbergets Hanna;Smedjeb ;F12e;52/74;70105;1800;1633;1457;2006;2006;99,5;307;98;0;;;;;;
551;850;;Vestas;1001; Börstad 1;Börstad ;F8d;52/65;70308;1750;1686;1663;2106;2106;99,2;290;94;0;;;;;;
552;850;;Vestas;1011; Storön 2;Storön ;M25c;52/74;81011;1650;2042;1909;2204;2204;96,8;232;71;105;;;;;;
553;850;;Vestas;1028; Räfsjö Vind 1;Räfsjö Säteri ;F8d;52/74;80711;1700;1847;1755;2318;2318;98,4;328;96;4;;;;;;
554;850;;Vestas;1031; Varnäs vind;Väderstad ;F8d;52/74;90218;1800;1612;1544;2063;2063;97,1;280;89;21;;;;;;
555;850;;Vestas;1103; TÖS;Väderstad ;E8f;52/74;90115;1800;1771;1709;2199;2199;98,5;294;89;19;;;;;;
556;850;;Vestas;1253; Uvbergets Boel;Smedjebac ;F12e;52/74;100601;1500;1573;1373;1832;1832;97,1;286;98;0;;;;;;
557;850;;Vestas;2037; Larsgården;Vara ;C8e;52/65;150516;1700;;;293;293;99,9;;;;;;;;;
558;850;200;Vestas;693; Nils; Almåsa, Almåsaberget ;E19g;52/55;21008;2162;2024;1998;1168;1168;99,5;;;;;;;;;
559;850;200;Vestas;718; Tomten flo;Grästorp ;C8d;52/74;30630;1786;1515;1492;1921;1921;98,4;261;88;9;;;;;;
560;850;200;Vestas;740; Östergården; Skara, Skånin ;D8d;52/74;31215;1650;1398;1494;1820;1820;94,2;262;81;71;;;;;;
561;850;200;Vestas;789; Kroka 1;Söderåkra ;G4b;52/74;41128;1890;1462;1542;1477;1477;99;;;;;;;;;
562;900;;Neg Micon;851; OBV2; Hjällö, Hjo ;E8a;52/60;50726;1700;1438;1517;1623;1623;95,9;256;90;1;;;;;;
565;900;200;NEG Micon;482; Äppelbovind ek.för;Hunnfle ;E13a;52/49;1217;1600;1918;1658;1085;1085;98,8;;;;;;;;;
566;900;200;NEG Micon;483; Klimpfjäll 1;Klimpfjäll ;F23d;52/49;10116;;1295;913;915;915;68,1;23;7;676;;;;;;
567;900;200;NEG Micon;484; Klimpfjäll 2;Klimpfjäll ;F23d;52/49;10116;;1081;863;762;762;58,6;146;64;97;;;;;;
568;900;200;NEG Micon;485; Klimpfjäll 3;Klimpfjäll ;F23d;52/49;10116;;1422;1027;1542;1542;94,1;131;60;160;;;;;;
569;*;900 200;NEG Micon;493; Dömestorp 2;Laholm ;C4b;52/55;10614;1650;1359;1450;1825;1825;97,9;292;91;0;;;;;;
570;900;200;NEG Micon;494; Viscaria 1;Viscaria ;J29h;52/49;10918;1846;1363;1237;1525;1525;97,9;192;84;1;;;;;;
571;900;200;NEG Micon;495; Viscaria 2;Viscaria ;J29h;52/49;10901;1784;1424;1210;1484;1484;93,6;138;72;126;;;;;;
572;900;200;NEG Micon;496; Viscaria 3;Viscaria ;J29h;52/49;10901;1896;1317;1357;1559;1559;96,3;192;86;1;;;;;;
573;900;200;NEG Micon;618; Greby;Greby ;G4i;52/55;1229;1652;1183;1333;1601;1601;95,1;207;85;63;;;;;;
574;900;200;NEG Micon;694; Össjö boställe;Össjö ;C3h;52/72;20101;;1566;434;78;78;99,4;4;92;0;;;;;;
575;900;200;NEG Micon;735; Stenninge 1;Stenninge ;H5d;52/49;40111;1900;1911;1596;2309;2309;99,2;339;94;1;;;;;;
576;900;200;NEG Micon;742; Ängalid II;Svalöv ;C2h;52/70;40108;1900;1996;2083;2391;2391;98,5;314;95;1;;;;;;
577;900;200;NEG Micon;755; Kuling I;Falkenberg ;B5f;52/60;40107;1930;1356;1624;1900;1900;98,5;273;85;22;;;;;;
578;900;200;NEG Micon;756; Kuling II;Falkenberg ;B5f;52/60;40107;1930;1367;1631;1845;1845;98,2;282;89;1;;;;;;
579;900;200;NEG Micon;757; Kuling III;Falkenberg ;B5f;52/60;40107;1930;1451;1644;1761;1761;90,7;296;93;2;;;;;;
580;900;200;NEG Micon;758; Kuling IV;Falkenberg ;B5f;52/60;40107;1930;1429;1614;1898;1898;98,9;285;92;3;;;;;;
581;900;200;NEG Micon;759; Kuling V;Falkenberg ;B5f;52/60;40107;1930;1225;1584;1930;1930;99,7;289;93;2;;;;;;
582;1000;;Nordic;681; Gerda Dragabol;Halmstad ;C4h;59/70;30103;2000;1067;1282;1356;1356;84,2;244;85;24;;;;;;
583;1500;;Enercon;645; Hedagården 1;Hedagården ;C3b;66/65;20901;3700;3487;4005;4239;4239;98,5;543;97;0;;;;;;
584;1500;;Enercon;646; Hedagården 4;Hedagården ;C3b;66/65;20901;3700;3447;4107;4139;4139;97,4;458;83;108;;;;;;
585;1500;;Enercon;647; Hedagården 5;Hedagården ;C3b;66/65;20901;3700;3235;3570;3847;3847;95,9;398;66;202;;;;;;
586;1500;;Enercon;675; Hedagården 2;Hedagården ;C3b;70/65;30101;3700;3416;3696;3911;3911;95,9;532;97;0;;;;;;
587;1500;;Enercon;676; Hedagården 3;Hedagården ;C3b;70/65;30101;3700;3371;3340;3996;3996;99,1;514;96;0;;;;;;
588;1500;;Enercon;677; Hedagården 6;Hedagården ;C3b;70/65;30101;3700;3377;3972;4142;4142;98,7;520;98;0;;;;;;
589;1500;;Enercon;714; Annevind 1;Annelöv ;C2h;70/65;30615;3700;3248;3714;4149;4149;99,1;511;96;0;;;;;;
590;1500;;Enercon;715; Annevind 2;Annelöv ;C2h;70/65;30615;3700;3387;3708;3065;3065;76;262;55;311;;;;;;
591;1500;;Vestas;777; Offerdal Råshön 1;Änge ;E19g;82/78;41207;4031;3814;4063;4717;4717;98,1;508;85;18;;;;;;
592;1500;;Vestas;778; Offerdal Råshön 2;Änge ;E19g;82/78;41205;4319;4497;4534;5403;5403;97,6;595;88;24;;;;;;
593;1500;;Vestas;779; Offerdal Råshön 3;Änge ;E19g;82/78;41208;3613;4197;3851;4732;4732;97,5;534;87;31;;;;;;
594;1500;;Vestas;780; Offerdal Råshön 4;Änge ;E19g;82/78;41208;4023;3933;3957;4805;4805;97,8;556;90;15;;;;;;
595;1500;;Vestas;781; Offerdal Råshön 5;Änge ;E19g;82/78;41203;4032;4016;3767;4852;4852;94,9;558;89;16;;;;;;
596;1500;;Vestas;782; Offerdal Råshön 6;Änge ;E19g;82/78;41205;4054;3957;3676;4572;4572;95,2;523;90;20;;;;;;
597;1500;;Vestas;783; Offerdal Råshön 7;Änge ;E19h;82/78;41203;3955;3965;3548;4881;4881;98;531;89;13;;;;;;
598;1500;;Vestas;790; Västraby 1 SV;Löberöd ;D2g;80/78;40806;4800;4307;4820;5324;5324;99,2;698;96;1;;;;;;
599;1500;;Vestas;791; Västraby 2 NV;Västraby ;D2g;80/78;40806;4800;3769;4333;4738;4738;94,1;642;91;32;;;;;;
600;1500;;Vestas;792; Västraby 3 SO;Västraby ;D2g;80/78;40806;4800;4028;4562;4867;4867;95,4;655;95;3;;;;;;
601;1500;;Vestas;793; Västraby 4 NO;Västraby ;D2g;80/78;40806;4800;3696;4287;4731;4731;99,1;617;94;1;;;;;;
602;1500;;Vestas;809; Aapua 1;Aapua ;M27i;82/78;51003;4465;;;;;;;;;;;;;;
603;1500;;Vestas;810; Aapua 2;Aapua ;M27i;82/78;50929;4232;;;;;;;;;;;;;;
604;1500;;Vestas;811; Aapua 3;Aapua ;M27i;82/78;50928;4140;;;;;;;;;;;;;;
605;1500;;Vestas;812; Aapua 4;Aapua ;M27i;82/78;50928;4344;;;;;;;;;;;;;;
606;1500;;Vestas;813; Aapua 5;Aapua ;M27i;82/78;50928;4397;;;;;;;;;;;;;;
607;1500;;Vestas;814; Aapua 6;Aapua ;M27i;82/78;50928;4500;;;;;;;;;;;;;;
608;1500;;Vestas;815; Aapua 7;Aapua ;M27i;82/78;50928;4613;;;;;;;;;;;;;;
609;1500;;Enercon;888; Nygårdshus 2;Eslöv ;D2g;66/65;41001;4200;3509;3737;4449;4449;98,5;596;92;45;;;;;;
610;1500;;Enercon;889; p.Olofssoon Energi;Eslöv ;D2g;70/86;41101;4100;3406;3667;4222;4222;96,7;612;98;0;;;;;;
611;1500;;Vestas;1152; Gans 1;Näsudden ;I5i;90/80;90301;;6206;6524;7435;7435;99,3;870;98;0;;;;;;
612;1500;;Vestas;1153; Gans 2;Näsudden ;I5i;90/80;90301;;5945;6600;7373;7373;99,6;861;97;0;;;;;;
613;1500;;Vestas;1154; Gans 3;Näsudden ;I5i;90/80;90301;;5964;6463;7175;7175;98,9;838;96;0;;;;;;
614;1500;;Vestas;1155; Gans 4;Näsudden ;I5i;90/80;90301;;5932;6285;7076;7076;98,3;785;91;47;;;;;;
615;1500;;Enercon;1199; Granberget Vindpark 1;Sike ;L21d;82/98;91103;5500;5184;4542;5270;5270;98,4;612;98;2;;;;;;
